2025-03-11 00:00:00,4374.06982421875,-31.02001953125,4470.330078125
2025-03-11 01:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 02:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 03:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 04:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 05:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 06:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 07:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 08:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 09:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 10:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 11:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 12:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 13:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 14:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 15:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 16:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 17:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 18:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 19:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 20:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 21:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 22:00:00,4374.06982421875,0.0,4470.330078125
2025-03-11 23:00:00,4374.06982421875,0.0,4470.330078125
